Sample	Mouse_Model	Condition	Sex	Genotype	Drug	Batch	Group
TBR1_WfF_1	Tbr1	WfF	Female	Wildtype	Fluoxetine	B5	Group2
TBR1_WfF_2	Tbr1	WfF	Female	Wildtype	Fluoxetine	B5	Group2
TBR1_WfF_3	Tbr1	WfF	Female	Wildtype	Fluoxetine	B5	Group2
TBR1_WfF_4	Tbr1	WfF	Female	Wildtype	Fluoxetine	B5	Group2
TBR1_WfF_5	Tbr1	WfF	Female	Wildtype	Fluoxetine	B5	Group2
TBR1_WfM_1	Tbr1	WfM	Male	Wildtype	Fluoxetine	B5	Group2
TBR1_WfM_2	Tbr1	WfM	Male	Wildtype	Fluoxetine	B5	Group2
TBR1_WfM_3	Tbr1	WfM	Male	Wildtype	Fluoxetine	B5	Group2
TBR1_WfM_4	Tbr1	WfM	Male	Wildtype	Fluoxetine	B5	Group2
TBR1_WfM_5	Tbr1	WfM	Male	Wildtype	Fluoxetine	B5	Group2
TBR1_WLF_1	Tbr1	WLF	Female	Wildtype	Lithium	B5	Group2
TBR1_WLF_2	Tbr1	WLF	Female	Wildtype	Lithium	B5	Group2
TBR1_WLF_3	Tbr1	WLF	Female	Wildtype	Lithium	B5	Group2
TBR1_WLF_4	Tbr1	WLF	Female	Wildtype	Lithium	B5	Group2
TBR1_WLF_5	Tbr1	WLF	Female	Wildtype	Lithium	B5	Group2
TBR1_WLM_1	Tbr1	WLM	Male	Wildtype	Lithium	B5	Group2
TBR1_WLM_2	Tbr1	WLM	Male	Wildtype	Lithium	B5	Group2
TBR1_WLM_3	Tbr1	WLM	Male	Wildtype	Lithium	B5	Group2
TBR1_WLM_4	Tbr1	WLM	Male	Wildtype	Lithium	B5	Group2
TBR1_WLM_5	Tbr1	WLM	Male	Wildtype	Lithium	B5	Group2
TBR1_WvF_1	Tbr1	WvF	Female	Wildtype	Vehicle	B5	Group2
TBR1_WvF_2	Tbr1	WvF	Female	Wildtype	Vehicle	B5	Group2
TBR1_WvF_3	Tbr1	WvF	Female	Wildtype	Vehicle	B5	Group2
TBR1_WvF_4	Tbr1	WvF	Female	Wildtype	Vehicle	B5	Group2
TBR1_WvF_5	Tbr1	WvF	Female	Wildtype	Vehicle	B5	Group2
TBR1_WvM_1	Tbr1	WvM	Male	Wildtype	Vehicle	B5	Group2
TBR1_WvM_2	Tbr1	WvM	Male	Wildtype	Vehicle	B5	Group2
TBR1_WvM_3	Tbr1	WvM	Male	Wildtype	Vehicle	B5	Group2
TBR1_WvM_4	Tbr1	WvM	Male	Wildtype	Vehicle	B5	Group2
TBR1_WvM_5	Tbr1	WvM	Male	Wildtype	Vehicle	B5	Group2
